date,amount,type,transaction_id,narration
2025-10-03,1800,credit,UPI1001,salary_transfer
2025-10-05,420,debit,UPI1002,grocery_store
2025-10-12,950,debit,UPI1003,electricity_bill
2025-10-18,600,credit,UPI1004,friend_settlement
2025-11-02,1800,credit,UPI1005,salary_transfer
2025-11-07,510,debit,UPI1006,mobile_recharge
2025-11-14,780,debit,UPI1007,utility_payment
2025-11-24,300,credit,UPI1008,cashback
2025-12-03,1800,credit,UPI1009,salary_transfer
2025-12-08,460,debit,UPI1010,groceries
2025-12-15,900,debit,UPI1011,rent_partial
2025-12-21,550,credit,UPI1012,refund
2026-01-04,1900,credit,UPI1013,salary_transfer
2026-01-09,520,debit,UPI1014,medical_store
2026-01-16,860,debit,UPI1015,utility_payment
2026-01-26,450,credit,UPI1016,friend_settlement
2026-02-03,1900,credit,UPI1017,salary_transfer
2026-02-06,390,debit,UPI1018,grocery_store
2026-02-14,980,debit,UPI1019,insurance_premium
2026-02-23,500,credit,UPI1020,cashback
2026-03-03,2000,credit,UPI1021,salary_transfer
2026-03-10,540,debit,UPI1022,groceries
2026-03-18,920,debit,UPI1023,utility_payment
2026-03-25,700,credit,UPI1024,bonus_partial
2026-04-03,2000,credit,UPI1025,salary_transfer
2026-04-07,450,debit,UPI1026,mobile_recharge
2026-04-12,880,debit,UPI1027,utility_payment
2026-04-16,620,credit,UPI1028,friend_settlement
